Vendedor,Doc,Fecha,Nombres,CódigoInventario,Unidades,Unitario Venta,Ventas,Costo Unitario,Total Costo,Margen,PorMargen
YOLEISY YOHANA POCHEZ PAREJO,FV R 11578,07/01/2020,Cliente General,10012541 DISCO SEPARADOR CLUTCH,4.00,"2,016.81","8,067.23","1,445.19","5,780.78","2,286.45",0.28
,FV R 11578,07/01/2020,Cliente General,10012780 CADENILLA DISTRIBUCION,1.00,"15,168.07","15,168.07","12,132.58","12,132.58","3,035.48",0.20
,FV R 11578,07/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"12,184.87","12,184.87","8,585.35","8,585.35","3,599.53",0.30
,FV R 11578,07/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,2.00,"11,344.54","22,689.08","8,585.35","17,170.70","5,518.38",0.24
,FV R 11578,07/01/2020,Cliente General,10015076 KIT GUIAS CADENILLA DIST,1.00,"17,983.19","17,983.19","13,016.81","13,016.81","4,966.38",0.28
,FV R 11578,07/01/2020,Cliente General,10015081 KIT VALVULAS,1.00,"36,722.69","36,722.69","24,864.71","24,864.71","11,857.98",0.32
,FV R 11578,07/01/2020,Cliente General,10015084 BAJ KIT CUNAS DIRECCION,1.00,"18,571.43","18,571.43","15,380.76","15,380.76","3,190.66",0.17
,FV R 11578,07/01/2020,Cliente General,10015084 BAJ KIT CUNAS DIRECCION,1.00,"21,848.74","21,848.74","15,380.76","15,380.76","6,467.98",0.30
,FV R 11578,07/01/2020,Cliente General,10015085 KIT RODAM BOLAS DIR_46 PCS,1.00,"1,680.67","1,680.67","1,269.05","1,269.05",411.63,0.24
,FV R 11578,07/01/2020,Cliente General,10015127 ANILLOS STD,1.00,"22,268.91","22,268.91","15,784.25","15,784.25","6,484.66",0.29
,FV R 11578,07/01/2020,Cliente General,10015134 KIT EMPAQUES,1.00,"20,756.30","20,756.30","18,217.55","18,217.55","2,538.76",0.12
,FV R 11578,07/01/2020,Cliente General,10015137 KIT DISCOS CLUTCH,1.00,"23,151.26","23,151.26","16,297.12","16,297.12","6,854.14",0.30
,FV R 11578,07/01/2020,Cliente General,10015137 KIT DISCOS CLUTCH,1.00,"24,369.75","24,369.75","16,297.12","16,297.12","8,072.63",0.33
,FV R 11578,07/01/2020,Cliente General,10016072 TUERCA EJE RUEDA TRAS,1.00,840.34,840.34,519.00,519.00,321.34,0.38
,FV R 11578,07/01/2020,Cliente General,10016108 RETEN VALVULA,1.00,"2,436.97","2,436.97","1,789.20","1,789.20",647.78,0.27
,FV R 11578,07/01/2020,Cliente General,10016110 RETEN EJE LEVA CLUTCH 12_20_5,1.00,"2,016.81","2,016.81","1,661.36","1,661.36",355.45,0.18
,FV R 11578,07/01/2020,Cliente General,10016111 RETEN PLATO BOBINAS_17_31_7,1.00,"3,613.45","3,613.45","2,497.67","2,497.67","1,115.78",0.31
,FV R 11578,07/01/2020,Cliente General,10016818 RODAMIENTO BOLAS EJE CLUTCH,1.00,"5,294.12","5,294.12","5,128.37","5,128.37",165.74,0.03
,FV R 11578,07/01/2020,Cliente General,10040537 BAJ BUJIA P_RZ9HC SUPER MICO BOSCH,2.00,"9,495.80","18,991.60","7,448.00","14,896.01","4,095.59",0.22
,FV R 11578,07/01/2020,Cliente General,10040566 FILTRO ACEITE,1.00,"5,042.02","5,042.02","3,259.25","3,259.25","1,782.76",0.35
,FV R 11578,07/01/2020,Cliente General,10040591 ANTIVIBRANTE,1.00,840.34,840.34,576.00,576.00,264.34,0.31
,FV R 11578,07/01/2020,Cliente General,10042107 PASTAS FRENO TRAS,1.00,"18,823.53","18,823.53","13,831.25","13,831.25","4,992.28",0.27
,FV R 11578,07/01/2020,Cliente General,10042296 EMPAQUE CARCASA CLUTCH,1.00,"4,621.85","4,621.85","3,433.38","3,433.38","1,188.47",0.26
,FV R 11578,07/01/2020,Cliente General,10042296 EMPAQUE CARCASA CLUTCH,1.00,"12,184.87","12,184.87","3,433.38","3,433.38","8,751.50",0.72
,FV R 11578,07/01/2020,Cliente General,10043130 CILINDRO COMPLETO,1.00,"116,806.72","116,806.72","81,663.61","81,663.61","35,143.11",0.30
,FV R 11578,07/01/2020,Cliente General,10044941 EMPAQUE CILINDRO,1.00,"2,521.01","2,521.01","1,317.73","1,317.73","1,203.28",0.48
,FV R 11578,07/01/2020,Cliente General,"10045110 FILTRO ACEITE 
REF. JE571007-1",1.00,"11,344.54","11,344.54","8,144.00","8,144.00","3,200.54",0.28
,FV R 11578,07/01/2020,Cliente General,10045554 PASTAS FRENO,1.00,"20,588.24","20,588.24","13,942.56","13,942.56","6,645.68",0.32
,FV R 11578,07/01/2020,Cliente General,10063471 BATERIA MT2.5L-C -GEL-MEGA 12V 2.5A,1.00,"28,571.43","28,571.43","23,524.76","23,524.76","5,046.67",0.18
,FV R 11578,07/01/2020,Cliente General,11025524 ELEMENTRO FILTRO AIRE,1.00,"30,672.27","30,672.27","22,072.76","22,072.76","8,599.51",0.28
,FV R 11578,07/01/2020,Cliente General,11034047 BATERIA MTX5L-BS-GEL-MEGA 12V 4AH,1.00,"38,571.43","38,571.43","34,986.00","34,986.00","3,585.43",0.09
,FV R 11578,07/01/2020,Cliente General,20002231 MANUBRIO NEGRO,1.00,"30,840.34","30,840.34","23,201.71","23,201.71","7,638.63",0.25
,FV R 11578,07/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,1.00,"14,500.00","14,500.00","14,428.17","14,428.17",71.83,0.00
,FV R 11578,07/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,3.00,"14,500.00","43,500.00","14,428.17","43,284.50",215.50,0.00
,FV R 11578,07/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,4.00,"17,000.00","68,000.00","14,428.17","57,712.67","10,287.33",0.15
,FV R 11578,07/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,8.00,"17,000.00","136,000.00","14,428.17","115,425.33","20,574.67",0.15
,FV R 11578,07/01/2020,Cliente General,7704919827873 7704919827873,1.00,"42,016.81","42,016.81",0.00,0.00,"42,016.81",1.00
,FV R 11578,07/01/2020,Cliente General,SI522436 SILICONA ULTRA GREY 50ML BLISTER,1.00,"12,605.04","12,605.04","8,572.80","8,572.80","4,032.24",0.32
,FV R 11579,08/01/2020,Cliente General,10012579 RESORTE BANDA FRENO,2.00,840.34,"1,680.67",477.08,954.16,726.52,0.43
,FV R 11579,08/01/2020,Cliente General,10012780 CADENILLA DISTRIBUCION,1.00,"15,966.39","15,966.39","12,132.58","12,132.58","3,833.80",0.24
,FV R 11579,08/01/2020,Cliente General,10012789 TAPON ACEITE,1.00,840.34,840.34,409.33,409.33,431.00,0.51
,FV R 11579,08/01/2020,Cliente General,10012790 TORNILLO TAPA VOLANTE,1.00,"1,260.50","1,260.50",929.00,929.00,331.50,0.26
,FV R 11579,08/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"11,176.47","11,176.47","8,585.35","8,585.35","2,591.12",0.23
,FV R 11579,08/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"11,176.47","11,176.47","8,585.35","8,585.35","2,591.12",0.23
,FV R 11579,08/01/2020,Cliente General,10015134 KIT EMPAQUES,1.00,"20,756.30","20,756.30","18,217.55","18,217.55","2,538.76",0.12
,FV R 11579,08/01/2020,Cliente General,10015137 KIT DISCOS CLUTCH,1.00,"24,369.75","24,369.75","16,297.12","16,297.12","8,072.63",0.33
,FV R 11579,08/01/2020,Cliente General,10015287 KIT BIELA BOXER- PLATINO,1.00,"37,731.09","37,731.09","34,502.50","34,502.50","3,228.59",0.09
,FV R 11579,08/01/2020,Cliente General,10015584 KIT GUIA CADENILLA,1.00,"14,285.71","14,285.71","12,428.00","12,428.00","1,857.71",0.13
,FV R 11579,08/01/2020,Cliente General,10016089 CANASTILLA EJE CLUTCH,1.00,"5,042.02","5,042.02","3,674.82","3,674.82","1,367.20",0.27
,FV R 11579,08/01/2020,Cliente General,10016641 RODAMIENTO BOLAS CIGUENAL 6304,2.00,"12,773.11","25,546.22","10,201.71","20,403.42","5,142.79",0.20
,FV R 11579,08/01/2020,Cliente General,10024031 KYM CABLE VELOCIMETRO COMPLETO,1.00,"21,428.57","21,428.57","19,456.00","19,456.00","1,972.57",0.09
,FV R 11579,08/01/2020,Cliente General,10040566 FILTRO ACEITE,2.00,"4,285.71","8,571.43","3,259.25","6,518.50","2,052.92",0.24
,FV R 11579,08/01/2020,Cliente General,10040932 RETEN,1.00,"3,781.51","3,781.51","2,663.74","2,663.74","1,117.77",0.30
,FV R 11579,08/01/2020,Cliente General,10040934 BUJIA,2.00,"8,571.43","17,142.86","7,294.00","14,588.00","2,554.86",0.15
,FV R 11579,08/01/2020,Cliente General,10042296 EMPAQUE CARCASA CLUTCH,1.00,"4,621.85","4,621.85","3,433.38","3,433.38","1,188.47",0.26
,FV R 11579,08/01/2020,Cliente General,10042352 CABLE CLUTCH,1.00,"17,226.89","17,226.89","11,662.19","11,662.19","5,564.70",0.32
,FV R 11579,08/01/2020,Cliente General,10042695 CADENILLA DIST 24X94L,1.00,"12,436.97","12,436.97","9,404.89","9,404.89","3,032.09",0.24
,FV R 11579,08/01/2020,Cliente General,10043159 BUJE EJE RUEDA DELANTERA,1.00,"3,991.60","3,991.60","2,835.00","2,835.00","1,156.60",0.29
,FV R 11579,08/01/2020,Cliente General,10043446 DIRECCIONAL DEL DERECHA,1.00,"11,974.79","11,974.79","8,728.63","8,728.63","3,246.16",0.27
,FV R 11579,08/01/2020,Cliente General,10043446 DIRECCIONAL DEL DERECHA,1.00,"12,605.04","12,605.04","8,728.63","8,728.63","3,876.41",0.31
,FV R 11579,08/01/2020,Cliente General,10045244 CAUCHO CAMPANA,1.00,"15,378.15","15,378.15","12,534.72","12,534.72","2,843.43",0.18
,FV R 11579,08/01/2020,Cliente General,10045719 BUJIA CHAMPION RER6YC,1.00,"21,848.74","21,848.74","16,139.78","16,139.78","5,708.95",0.26
,FV R 11579,08/01/2020,Cliente General,10046988 RODAMIENTO BOLAS,1.00,"9,243.70","9,243.70","7,398.00","7,398.00","1,845.70",0.20
,FV R 11579,08/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,6.00,"14,500.00","87,000.00","14,428.17","86,569.00",431.00,0.00
,FV R 11579,08/01/2020,Cliente General,21000361 MOBIL SUPER ULTRA 4T 20W50 1/4,7.00,"17,000.00","119,000.00","14,428.17","100,997.16","18,002.84",0.15
,FV R 11580,09/01/2020,Cliente General,10006100 RODAMIENTO BOLAS CIGUENAL 6204,2.00,"4,201.68","8,403.36",0.00,0.00,"8,403.36",1.00
,FV R 11580,09/01/2020,Cliente General,10012579 RESORTE BANDA FRENO,2.00,840.34,"1,680.67",477.08,954.16,726.52,0.43
,FV R 11580,09/01/2020,Cliente General,10012909 CAUCHO CAMPANA,1.00,"11,344.54","11,344.54","2,675.80","2,675.80","8,668.73",0.76
,FV R 11580,09/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"10,924.37","10,924.37","8,585.35","8,585.35","2,339.02",0.21
,FV R 11580,09/01/2020,Cliente General,10012919 BANDA FRENO DEL Y TRAS,1.00,"11,764.71","11,764.71","8,585.35","8,585.35","3,179.36",0.27
,FV R 11580,09/01/2020,Cliente General,10015291 KIT ARRASTRE,1.00,"73,109.24","73,109.24","56,571.00","56,571.00","16,538.24",0.23
,FV R 11580,09/01/2020,Cliente General,10040422 BOMBILLO FAROLA 12V 35/35W,1.00,"8,403.36","8,403.36","5,787.23","5,787.23","2,616.14",0.31
,FV R 11580,09/01/2020,Cliente General,10040537 BAJ BUJIA P_RZ9HC SUPER MICO BOSCH,2.00,"9,663.87","19,327.73","7,448.00","14,896.01","4,431.72",0.23
,FV R 11580,09/01/2020,Cliente General,10042352 CABLE CLUTCH,1.00,"17,226.89","17,226.89","11,662.19","11,662.19","5,564.70",0.32
