,Vendedor,Doc,Fecha,Nombres,Unidades,Unitario Venta,Ventas,Costo Unitario,Costo Total,Margen,PorMargen,Codigo,Descripcion
0,YOLEISY YOHANA POCHEZ PAREJO,FV R 11578,07/01/2020,Cliente General,4.0,2016.81,8067.23,1445.19,5780.78,2286.45,0.28,10012541,DISCO SEPARADOR CLUTCH
1,,FV R 11578,07/01/2020,Cliente General,1.0,15168.07,15168.07,12132.58,12132.58,3035.48,0.2,10012780,CADENILLA DISTRIBUCION
2,,FV R 11578,07/01/2020,Cliente General,1.0,12184.87,12184.87,8585.35,8585.35,3599.53,0.3,10012919,BANDA FRENO DEL Y TRAS
3,,FV R 11578,07/01/2020,Cliente General,2.0,11344.54,22689.08,8585.35,17170.7,5518.38,0.24,10012919,BANDA FRENO DEL Y TRAS
4,,FV R 11578,07/01/2020,Cliente General,1.0,17983.19,17983.19,13016.81,13016.81,4966.38,0.28,10015076,KIT GUIAS CADENILLA DIST
5,,FV R 11578,07/01/2020,Cliente General,1.0,36722.69,36722.69,24864.71,24864.71,11857.98,0.32,10015081,KIT VALVULAS
6,,FV R 11578,07/01/2020,Cliente General,1.0,18571.43,18571.43,15380.76,15380.76,3190.66,0.17,10015084,BAJ KIT CUNAS DIRECCION
7,,FV R 11578,07/01/2020,Cliente General,1.0,21848.74,21848.74,15380.76,15380.76,6467.98,0.3,10015084,BAJ KIT CUNAS DIRECCION
8,,FV R 11578,07/01/2020,Cliente General,1.0,1680.67,1680.67,1269.05,1269.05,411.63,0.24,10015085,KIT RODAM BOLAS DIR_46 PCS
9,,FV R 11578,07/01/2020,Cliente General,1.0,22268.91,22268.91,15784.25,15784.25,6484.66,0.29,10015127,ANILLOS STD
10,,FV R 11578,07/01/2020,Cliente General,1.0,20756.3,20756.3,18217.55,18217.55,2538.76,0.12,10015134,KIT EMPAQUES
11,,FV R 11578,07/01/2020,Cliente General,1.0,23151.26,23151.26,16297.12,16297.12,6854.14,0.3,10015137,KIT DISCOS CLUTCH
12,,FV R 11578,07/01/2020,Cliente General,1.0,24369.75,24369.75,16297.12,16297.12,8072.63,0.33,10015137,KIT DISCOS CLUTCH
13,,FV R 11578,07/01/2020,Cliente General,1.0,840.34,840.34,519.0,519.0,321.34,0.38,10016072,TUERCA EJE RUEDA TRAS
14,,FV R 11578,07/01/2020,Cliente General,1.0,2436.97,2436.97,1789.2,1789.2,647.78,0.27,10016108,RETEN VALVULA
15,,FV R 11578,07/01/2020,Cliente General,1.0,2016.81,2016.81,1661.36,1661.36,355.45,0.18,10016110,RETEN EJE LEVA CLUTCH 12_20_5
16,,FV R 11578,07/01/2020,Cliente General,1.0,3613.45,3613.45,2497.67,2497.67,1115.78,0.31,10016111,RETEN PLATO BOBINAS_17_31_7
17,,FV R 11578,07/01/2020,Cliente General,1.0,5294.12,5294.12,5128.37,5128.37,165.74,0.03,10016818,RODAMIENTO BOLAS EJE CLUTCH
18,,FV R 11578,07/01/2020,Cliente General,2.0,9495.8,18991.6,7448.0,14896.01,4095.59,0.22,10040537,BAJ BUJIA P_RZ9HC SUPER MICO BOSCH
19,,FV R 11578,07/01/2020,Cliente General,1.0,5042.02,5042.02,3259.25,3259.25,1782.76,0.35,10040566,FILTRO ACEITE
20,,FV R 11578,07/01/2020,Cliente General,1.0,840.34,840.34,576.0,576.0,264.34,0.31,10040591,ANTIVIBRANTE
21,,FV R 11578,07/01/2020,Cliente General,1.0,18823.53,18823.53,13831.25,13831.25,4992.28,0.27,10042107,PASTAS FRENO TRAS
22,,FV R 11578,07/01/2020,Cliente General,1.0,4621.85,4621.85,3433.38,3433.38,1188.47,0.26,10042296,EMPAQUE CARCASA CLUTCH
23,,FV R 11578,07/01/2020,Cliente General,1.0,12184.87,12184.87,3433.38,3433.38,8751.5,0.72,10042296,EMPAQUE CARCASA CLUTCH
24,,FV R 11578,07/01/2020,Cliente General,1.0,116806.72,116806.72,81663.61,81663.61,35143.11,0.3,10043130,CILINDRO COMPLETO
25,,FV R 11578,07/01/2020,Cliente General,1.0,2521.01,2521.01,1317.73,1317.73,1203.28,0.48,10044941,EMPAQUE CILINDRO
26,,FV R 11578,07/01/2020,Cliente General,1.0,11344.54,11344.54,8144.0,8144.0,3200.54,0.28,10045110,"FILTRO ACEITE 
REF. JE571007-1"
27,,FV R 11578,07/01/2020,Cliente General,1.0,20588.24,20588.24,13942.56,13942.56,6645.68,0.32,10045554,PASTAS FRENO
28,,FV R 11578,07/01/2020,Cliente General,1.0,28571.43,28571.43,23524.76,23524.76,5046.67,0.18,10063471,BATERIA MT2.5L-C -GEL-MEGA 12V 2.5A
29,,FV R 11578,07/01/2020,Cliente General,1.0,30672.27,30672.27,22072.76,22072.76,8599.51,0.28,11025524,ELEMENTRO FILTRO AIRE
30,,FV R 11578,07/01/2020,Cliente General,1.0,38571.43,38571.43,34986.0,34986.0,3585.43,0.09,11034047,BATERIA MTX5L-BS-GEL-MEGA 12V 4AH
31,,FV R 11578,07/01/2020,Cliente General,1.0,30840.34,30840.34,23201.71,23201.71,7638.63,0.25,20002231,MANUBRIO NEGRO
32,,FV R 11578,07/01/2020,Cliente General,1.0,14500.0,14500.0,14428.17,14428.17,71.83,0.0,21000361,MOBIL SUPER ULTRA 4T 20W50 1/4
